title,genre
john carter,Fantasy
terminator: genisys,Fantasy
frankenstein,Horror
high plains drifter,Western
deer woman,Horror
tha man from laramie,Western
wild justice,Action
the 2nd,Action
behind enemy lines,Action
storm war,Fantasy
fear street: 1994,Horror
maniac cop,Horror
quarantine,Horror
the omega man,Fantasy
the monster,Horror
country,Adventure
waco,Western
3:10 to yuma,Western
needful things,Horror
meteor apocalypse,Adventure
romancing the stone,Adventure
trick or treat,Horror
the haunted,Horror
the maverick queen,Western
alien origin,Horror
villa rides,Adventure
bad trip,Action
last man standing,Action
phantasm: ravager,Fantasy
kiwi safari,Adventure
terror house,Horror
chaos walking,Fantasy
the open house,Horror
only the valiant,Western
lovers lane,Horror
zoom,Adventure
bottom feeder,Horror
the younger brothers,Western
hero wanted,Action
badman's country,Western
mean guns,Action
ambushed,Action
nightflyers,Fantasy
bedlam,Horror
timestalkers,Fantasy
day of the badman,Western
fury of the dragon,Action
dead & buried,Horror
huckleberry finn,Adventure
night of the wild,Horror
leprechaun 3,Horror
china seas,Adventure
crystal skulls,Fantasy
dragonheart,Fantasy
6 bullets,Action
explorers,Fantasy
chisum,Western
arizona raiders,Western
allegheny uprising,Adventure
frankenfish,Horror
the last elephant,Adventure
far and away,Adventure
el paso,Western
johnny dark,Action
kill bill: vol. 2,Action
superfly,Action
hideous!,Horror
the space between us,Fantasy
pursuit of honor,Adventure
the veil,Horror
bend of the river,Western
bad dreams,Horror
the kid,Western
re-animator,Horror
happy death day,Horror
antibirth,Horror
hostel,Horror
jurassic world,Fantasy
gladiator,Adventure
bug,Fantasy
rio grande,Western
the mask of zorro,Adventure
peter pan,Adventure
the avenging angel,Western
war pigs,Action
the jungle book,Adventure
mercenaries,Action
2010,Fantasy
man in the saddle,Western
detention,Horror
seven women,Western
doctor dolittle,Fantasy
abandoned dead,Horror
white water summer,Adventure
godzilla,Fantasy
annabelle: creation,Horror
florida straits,Adventure
ghost rider,Action
rim of the world,Adventure
the condemned,Action
dementia 13,Horror
children of the corn,Horror
prometheus,Fantasy
kronos,Fantasy
time lapse,Fantasy
flora & ulysses,Adventure
swiss army man,Adventure
aces: iron eagle iii,Action
"i, madman",Horror
mars attacks!,Fantasy
laserblast,Fantasy
satellite in the sky,Fantasy
fallout,Fantasy
kristy,Horror
the green inferno,Horror
carrie,Horror
man without a star,Western
the expendables,Action
corona zombies,Horror
the final countdown,Fantasy
bloodeaters,Horror
five weeks in ballon,Adventure
speed racer,Action
four brothers,Action
bird of paradise,Adventure
dark angel,Action
xx,Horror
the texas rangers,Western
mortuary,Horror
out for blood,Horror
deadly blessing,Horror
face to face,Adventure
beautiful creatures,Fantasy
kull the conqueror,Fantasy
star trek: voyager,Fantasy
santee,Western
hellraiser: inferno,Horror
the well,Fantasy
camino,Action
mayhem,Action
after earth,Fantasy
tennessee's partner,Western
cariboo trail,Western
sleepwalkers,Horror
the comancheros,Western
the puppet masters,Fantasy
cosmic sin,Fantasy
the siege,Action
raw edge,Western
moon of the wolf,Horror
missing in action,Adventure
the sand pebbles,Adventure
warlock,Western
gulliver's travel,Fantasy
virginia city,Western
machete kills,Action
planet of the apes,Fantasy
mr. sardonicus,Horror
three young texans,Western
backlash,Western
secondhand lions,Adventure
1408,Horror
out for a kill,Action
the lost city of z,Adventure
russkies,Adventure
the wolverine,Fantasy
alita: battle angel,Fantasy
satanic,Horror
wyoming outlaw,Western
blue crush,Action
the lawless range,Western
boa vs. python,Fantasy
black dog,Action
switchblade sisters,Action
the power of few,Action
evil eyes,Horror
the bounty hunter,Western
wicked blood,Action
piranha 3dd,Horror
love and a bullet,Action
morgan,Fantasy
buried alive ,Horror
dead man's burden,Western
twilight,Fantasy
artemis fowl,Fantasy
all hallows' eve,Horror
the return,Fantasy
insanitarium,Horror
to die for,Horror
hard to kill,Action
rabbits,Fantasy
"walker, texas ranger",Action
adam & evil,Horror
panic in the skies!,Action
winter's tale,Fantasy
wheelman,Action
the covenant,Horror
leprechaun 2,Horror
tales of halloween,Horror
the cimarron kid,Western
trader horn,Adventure
safe,Action
schizoid,Action
fast & furious 7,Action
rogue warfare,Action
red state,Horror
virtuosity,Fantasy
solstice,Horror
lucky lady,Adventure
the lawless breed,Western
seven cities of gold,Adventure
bengal brigade,Adventure
militia,Action
trading paint,Action
logan's run,Fantasy
the howling,Horror
the forever purge,Horror
gun fury,Western
sounds like,Horror
den of thieves,Action
sinister,Horror
nomads,Horror
my soul to take,Horror
the strange door,Horror
bermuda tentacles,Action
robocop 3,Fantasy
the virginian,Western
maniac cop 2,Horror
homicidal,Horror
dark eyes of london,Horror
fear of flying,Action
hell fest,Horror
amusement,Horror
creep 2,Horror
l.a. apocalypse,Action
mr. jones,Horror
the cell 2,Horror
the fly ii,Fantasy
the assassin,Action
chips,Action
spacecamp,Fantasy
the eye,Horror
a deadly obsession,Action
gray lady down,Adventure
the hit list,Action
bordello of blood,Horror
stay alive,Horror
forever amber,Adventure
anne of the indies,Adventure
bullet for a badman,Western
galaxy of terror ,Action
appaloosa,Western
the nevadan,Western
ink,Action
martial outlaw,Action
saddle tramp,Western
highway to hell,Horror
walk the proud land,Western
the toybox,Action
the big sky,Western
a.i. assault,Action
jupiter ascending,Fantasy
two flags west,Western
four for texas,Western
fort dobbs,Western
precious find ,Fantasy
enchanted,Fantasy
dakota,Western
heist,Action
clash of the empires,Fantasy
the last wagon,Western
eraser,Action
aliens,Fantasy
path of destruction,Action
outside the wire,Action
zombie night,Horror
final destination 5,Horror
geronimo,Western
the abcs of death,Horror
tombstone,Western
dolly dearest,Horror
gun point,Western
all is lost,Action
eyeborgs,Fantasy
star wars,Fantasy
beast of burden,Action
the tingler,Horror
bad country,Action
malone,Action
camera obscura,Horror
plymouth adventure,Adventure
the den,Horror
escape from absolom,Fantasy
brahms: the boy ii,Horror
prince of darkness,Horror
hard bounty,Western
descendants,Fantasy
flaming star,Western
bridge of dragons,Action
the greasy strangler,Horror
milo,Horror
they crawl,Horror
phantasm 2,Horror
saddle the wind,Western
news of the world,Western
hercules reborn,Action
jarhead 3: the siege,Action
2 guns,Action
hidalgo,Adventure
hollow man ii ,Action
lights out,Horror
ring of fire ii,Action
along came jones,Adventure
progeny,Horror
transformations,Horror
the golden compass,Fantasy
mercy,Horror
r.i.p.d.,Action
the kingdom,Action
crazy horse,Western
creature,Fantasy
avengers grimm,Fantasy
the sea wolf,Adventure
monster trucks,Action
killjoy,Horror
the thing,Fantasy
child's play,Horror
dr. giggles,Horror
vamp,Horror
hurricane,Action
starcrossed,Fantasy
escape plan,Action
prophecy,Adventure
leatherface,Horror
white house down,Action
the hunger,Horror
a thunder of drums,Western
run of the arrow,Western
one-eyed jacks,Western
the next man,Adventure
scream 3,Horror
blue thunder,Action
s.h.e.,Adventure
money train,Action
blood out,Action
mutiny,Adventure
last knights,Action
happy death day 2u,Horror
metal tornado,Fantasy
hellboy,Fantasy
rose hill,Western
rio lobo,Western
the far horizons,Western
the mummy's tomb,Horror
sand serpents ,Action
charlie's angels,Action
crossing point,Action
rage,Action
the confession,Action
time cop,Fantasy
cyborg,Fantasy
shocker,Horror
age of tomorrow,Action
insidious: chapter 3,Horror
the cursed,Horror
the head,Horror
the babysitter,Horror
the hills have eyes,Horror
i am legend,Fantasy
catwoman,Fantasy
the black cat,Horror
never say die,Action
cult of chucky,Horror
foxy brown,Action
area 51,Horror
cross 2,Action
the marksman,Action
the unforgiven,Western
brake,Action
wendigo,Horror
s.s.s. snake,Horror
extreme days,Action
togo,Adventure
union pacific,Western
absolute deception,Action
